uf60,code_muni_1960,name_muni_1960,ordem,name_district_1960,pop_total,pop_urbana,pop_rural,domicilios,pagina,nota
81,8554,Pelotas,3,Cerrito Alegre,7646,0,7646,,,municipio em que os codigos do livro nao sobem com as linhas
81,8554,Pelotas,4,Dunas,9229,5433,3796,,,municipio em que os codigos do livro nao sobem com as linhas
81,8554,Pelotas,5,Morro Redondo,4629,0,4629,,,municipio em que os codigos do livro nao sobem com as linhas
81,8554,Pelotas,6,Quilombo,6658,0,6658,,,municipio em que os codigos do livro nao sobem com as linhas
81,8554,Pelotas,7,Santa Eulália,5451,0,5451,,,municipio em que os codigos do livro nao sobem com as linhas
81,8554,Pelotas,8,Santa Silvana,7954,0,7954,,,municipio em que os codigos do livro nao sobem com as linhas
60,6101,Eldorado,0,Eldorado,11005,2123,8882,,,municipio em que os codigos do livro nao sobem com as linhas
60,6101,Eldorado,1,Eldorado,5528,1524,4004,,,municipio em que os codigos do livro nao sobem com as linhas
60,6101,Eldorado,2,Braço,2444,182,2262,,,municipio em que os codigos do livro nao sobem com as linhas
60,6101,Eldorado,3,Itapeúna,3033,417,2616,,,municipio em que os codigos do livro nao sobem com as linhas
60,6657,Tupã,0,Tupã,56468,30321,26147,,,municipio em que os codigos do livro nao sobem com as linhas
60,6657,Tupã,1,Tupã,38795,28723,10072,,,municipio em que os codigos do livro nao sobem com as linhas
60,6657,Tupã,2,Arco-Íris,9570,518,9052,,,municipio em que os codigos do livro nao sobem com as linhas
60,6657,Tupã,3,Parnaso,2279,373,1906,,,municipio em que os codigos do livro nao sobem com as linhas
60,6657,Tupã,4,Universo,4196,287,3909,,,municipio em que os codigos do livro nao sobem com as linhas
60,6657,Tupã,5,Varpa,1628,420,1208,,,municipio em que os codigos do livro nao sobem com as linhas
17,1751,Parelhas,0,Parelhas,13044,4569,8475,,,municipio em que os codigos do livro nao sobem com as linhas
17,1751,Parelhas,1,Parelhas,9815,3821,5994,,,municipio em que os codigos do livro nao sobem com as linhas
17,1751,Parelhas,2,Equador,3229,748,2481,,,municipio em que os codigos do livro nao sobem com as linhas
