uf60,code_muni_1960,name_muni_1960,ordem,name_district_1960,pop_total,pop_urbana,pop_rural,domicilios,pagina,nota
40,4134,Santa Rita do Sapucaí,1,Santa Rita do Sapucaí,18322,8464,9858,,,amostra de auditoria dos municipios sem buraco na numeracao
40,4134,Santa Rita do Sapucaí,2,São Sebastião da Bela Vista,3300,845,2455,,,amostra de auditoria dos municipios sem buraco na numeracao
81,8317,Palmeira das Missões,0,Palmeira das Missões (município),56693,9406,47287,,,amostra de auditoria dos municipios sem buraco na numeracao
81,8317,Palmeira das Missões,1,Palmeira das Missões,32273,8017,24256,,,amostra de auditoria dos municipios sem buraco na numeracao
81,8317,Palmeira das Missões,2,Coronel Finzito,2936,366,2570,,,amostra de auditoria dos municipios sem buraco na numeracao
81,8317,Palmeira das Missões,3,Jaboticaba,6964,200,6764,,,amostra de auditoria dos municipios sem buraco na numeracao
81,8317,Palmeira das Missões,4,Rodeio Bonito,5970,551,5419,,,amostra de auditoria dos municipios sem buraco na numeracao
81,8317,Palmeira das Missões,5,São José,8550,272,8278,,,amostra de auditoria dos municipios sem buraco na numeracao
14,1448,Icó,0,Icó,34976,7652,27324,,,municipio em que os codigos do livro nao sobem com as linhas
14,1448,Icó,1,Icó,13188,5586,7602,,,municipio em que os codigos do livro nao sobem com as linhas
14,1448,Icó,2,Cruzeirinho,5952,177,5775,,,municipio em que os codigos do livro nao sobem com as linhas
14,1448,Icó,3,Icòzinho,5184,695,4489,,,municipio em que os codigos do livro nao sobem com as linhas
14,1448,Icó,4,Lima Campos,6802,973,5829,,,municipio em que os codigos do livro nao sobem com as linhas
14,1448,Icó,5,Pedrinhas,3850,221,3629,,,municipio em que os codigos do livro nao sobem com as linhas
14,1510,Acaraú,0,Acaraú,55385,6126,49259,,,municipio em que os codigos do livro nao sobem com as linhas
14,1510,Acaraú,1,Acaraú,15126,3042,12084,,,municipio em que os codigos do livro nao sobem com as linhas
14,1510,Acaraú,2,Aranaú,3993,313,3680,,,municipio em que os codigos do livro nao sobem com as linhas
14,1510,Acaraú,3,Cruz,4875,770,4105,,,municipio em que os codigos do livro nao sobem com as linhas
14,1510,Acaraú,4,Itarema,23369,1127,22242,,,municipio em que os codigos do livro nao sobem com as linhas
14,1510,Acaraú,5,Jericoacoara,8022,874,7148,,,municipio em que os codigos do livro nao sobem com as linhas
14,1649,Juazeiro do Norte,0,Juàzeiro do Norte,68494,54170,14324,,,municipio em que os codigos do livro nao sobem com as linhas
14,1649,Juazeiro do Norte,1,Juàzeiro do Norte,58904,53421,5483,,,municipio em que os codigos do livro nao sobem com as linhas
14,1649,Juazeiro do Norte,2,Marrocos,4442,170,4272,,,municipio em que os codigos do livro nao sobem com as linhas
14,1649,Juazeiro do Norte,3,Padre Cícero,5148,579,4569,,,municipio em que os codigos do livro nao sobem com as linhas
40,4340,Virginópolis,0,Virginópolis,35434,11384,24050,,,municipio em que os codigos do livro nao sobem com as linhas
40,4340,Virginópolis,1,Virginópolis,10470,2950,7520,,,municipio em que os codigos do livro nao sobem com as linhas
40,4340,Virginópolis,2,Divino de Virginópolis,6142,4073,2069,,,municipio em que os codigos do livro nao sobem com as linhas
40,4340,Virginópolis,3,Gonzaga,5511,800,4711,,,municipio em que os codigos do livro nao sobem com as linhas
40,4340,Virginópolis,4,Santa Efigênia,4620,905,3715,,,municipio em que os codigos do livro nao sobem com as linhas
40,4340,Virginópolis,5,São Geraldo da Piedade,4494,2134,2360,,,municipio em que os codigos do livro nao sobem com as linhas
40,4340,Virginópolis,6,Sardoá,4197,522,3675,,,municipio em que os codigos do livro nao sobem com as linhas
52,5213,São João da Barra,0,São João da Barra,54833,8599,46234,,,municipio em que os codigos do livro nao sobem com as linhas
52,5213,São João da Barra,1,São João da Barra,5735,3441,2294,,,municipio em que os codigos do livro nao sobem com as linhas
52,5213,São João da Barra,2,Barcelos,6665,2321,4344,,,municipio em que os codigos do livro nao sobem com as linhas
52,5213,São João da Barra,3,Barra Sêca,13400,604,12796,,,municipio em que os codigos do livro nao sobem com as linhas
52,5213,São João da Barra,4,Itabapoana,13459,1529,11930,,,municipio em que os codigos do livro nao sobem com as linhas
52,5213,São João da Barra,5,Maniva,9861,378,9483,,,municipio em que os codigos do livro nao sobem com as linhas
52,5213,São João da Barra,6,Pipeiras,5713,326,5387,,,municipio em que os codigos do livro nao sobem com as linhas
81,8107,São Luiz Gonzaga,0,São Luiz Gonzaga,55537,16127,39410,,,municipio em que os codigos do livro nao sobem com as linhas
81,8107,São Luiz Gonzaga,1,São Luís Gonzaga,21824,12926,8898,,,municipio em que os codigos do livro nao sobem com as linhas
81,8107,São Luiz Gonzaga,2,Bossoroca,5962,1008,4954,,,municipio em que os codigos do livro nao sobem com as linhas
81,8107,São Luiz Gonzaga,3,Caibaté,6792,359,6433,,,municipio em que os codigos do livro nao sobem com as linhas
81,8107,São Luiz Gonzaga,4,Dezesseis de Novembro,4492,93,4399,,,municipio em que os codigos do livro nao sobem com as linhas
81,8107,São Luiz Gonzaga,5,Pirapó,5399,263,5136,,,municipio em que os codigos do livro nao sobem com as linhas
81,8107,São Luiz Gonzaga,6,Rolador,4369,211,4158,,,municipio em que os codigos do livro nao sobem com as linhas
81,8107,São Luiz Gonzaga,7,São Lourenço das Missões,2657,324,2333,,,municipio em que os codigos do livro nao sobem com as linhas
81,8107,São Luiz Gonzaga,8,São Nicolau,4042,943,3099,,,municipio em que os codigos do livro nao sobem com as linhas
81,8135,São José do Ouro,0,São José do Ouro,17354,1646,15708,,,municipio em que os codigos do livro nao sobem com as linhas
81,8135,São José do Ouro,1,São José do Ouro,7428,1030,6398,,,municipio em que os codigos do livro nao sobem com as linhas
81,8135,São José do Ouro,2,Espigão Alto,3424,203,3221,,,municipio em que os codigos do livro nao sobem com as linhas
81,8135,São José do Ouro,3,Farrapos,1200,90,1110,,,municipio em que os codigos do livro nao sobem com as linhas
81,8135,São José do Ouro,4,Gustavo Berthier,3172,261,2911,,,municipio em que os codigos do livro nao sobem com as linhas
81,8135,São José do Ouro,5,Santo Expedito,2130,62,2068,,,municipio em que os codigos do livro nao sobem com as linhas
81,8201,Bento Gonçalves,0,Bento Gonçalves,33956,15141,18815,,,municipio em que os codigos do livro nao sobem com as linhas
81,8201,Bento Gonçalves,1,Bento Gonçalves,21842,13662,8180,,,municipio em que os codigos do livro nao sobem com as linhas
81,8201,Bento Gonçalves,2,Faria Lemos,2802,108,2694,,,municipio em que os codigos do livro nao sobem com as linhas
81,8201,Bento Gonçalves,3,Monte Belo,3528,485,3043,,,municipio em que os codigos do livro nao sobem com as linhas
81,8201,Bento Gonçalves,4,Pinto Bandeira,3458,334,3124,,,municipio em que os codigos do livro nao sobem com as linhas
81,8201,Bento Gonçalves,5,Santa Teresa,2326,552,1774,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,0,Caxias do Sul,102702,69269,33433,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,1,Caxias do Sul,70265,60607,9658,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,2,Ana Rech,4463,1250,3213,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,3,Criúva,3538,364,3174,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,4,Fazenda Souza,1465,335,1130,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,5,Forqueta,1437,646,791,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,6,Galópolis,6723,2117,4606,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,7,Oliva,2226,199,2027,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,8,Santa Lúcia do Piaí,2917,494,2423,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,9,São Marcos,8370,3014,5356,,,municipio em que os codigos do livro nao sobem com as linhas
81,8204,Caxias do Sul,10,Sêca,1298,243,1055,,,municipio em que os codigos do livro nao sobem com as linhas
81,8254,Cachoeira do Sul,0,Cachoeira do Sul,84512,40234,44278,,,municipio em que os codigos do livro nao sobem com as linhas
81,8254,Cachoeira do Sul,1,Cachoeira do Sul,38661,38661,0,,,municipio em que os codigos do livro nao sobem com as linhas
81,8254,Cachoeira do Sul,2,Barro Vermelho,6393,128,6265,,,municipio em que os codigos do livro nao sobem com as linhas
81,8254,Cachoeira do Sul,3,Capané,6561,37,6524,,,municipio em que os codigos do livro nao sobem com as linhas
81,8254,Cachoeira do Sul,4,Cêrro Branco,10642,957,9685,,,municipio em que os codigos do livro nao sobem com as linhas
81,8254,Cachoeira do Sul,5,Cordilheira,6351,97,6254,,,municipio em que os codigos do livro nao sobem com as linhas
81,8254,Cachoeira do Sul,6,Ferreira,8852,55,8797,,,municipio em que os codigos do livro nao sobem com as linhas
81,8254,Cachoeira do Sul,7,Paraíso do Sul,7052,299,6753,,,municipio em que os codigos do livro nao sobem com as linhas
81,8260,Gravataí,0,Gravataí,46271,16991,29280,,,municipio em que os codigos do livro nao sobem com as linhas
