quesito,variavel,codigo,rotulo,grupo,subgrupo,pagina,nota
G,V207,26,São Paulo,Brasil,,3,a lista de países remete ao 'Código para uso da Agência Municipal de Estatística' para os que faltam
G,V207,27,Sergipe,Brasil,,3,a lista de países remete ao 'Código para uso da Agência Municipal de Estatística' para os que faltam
G,V207,28,Serra dos Aimorés (região em litígio),Brasil,,3,a lista de países remete ao 'Código para uso da Agência Municipal de Estatística' para os que faltam
G,V207,29,Brasileiro nato sem declaração da Unidade da Federação,Brasil,,3,a lista de países remete ao 'Código para uso da Agência Municipal de Estatística' para os que faltam
G,V207,99,Estrangeiro ou naturalizado sem declaração do país,Brasil,,3,a lista de países remete ao 'Código para uso da Agência Municipal de Estatística' para os que faltam
G,V207,30,Açores,Outros países,,4,
G,V207,31,África do Sul,Outros países,,4,
G,V207,32,Alemanha (Ocidental e Oriental),Outros países,,4,
G,V207,33,Argélia,Outros países,,4,não legível ou ausente no exemplar digitalizado do Código; rótulo do dicionário de códigos do IBGE que acompanha o arquivo (dicionario_60_last.doc)
G,V207,34,Argentina,Outros países,,4,
G,V207,35,"URSS (inclusive Armênia, Bessarábia, Estônia, Geórgia, Letônia, Lituânia, Rússia e Ucrânia)",Outros países,,4,
G,V207,36,Austrália,Outros países,,4,
G,V207,37,Áustria,Outros países,,4,
G,V207,38,Bélgica,Outros países,,4,
G,V207,39,Bolívia,Outros países,,4,
G,V207,40,Bulgária,Outros países,,4,
G,V207,41,Canadá,Outros países,,4,
G,V207,42,Chile,Outros países,,4,
G,V207,43,China,Outros países,,4,
G,V207,44,Síria,Outros países,,4,
G,V207,45,Colômbia,Outros países,,4,
G,V207,46,Coréia,Outros países,,4,
G,V207,47,Costa Rica,Outros países,,4,
G,V207,48,Cuba,Outros países,,4,
G,V207,49,Dinamarca,Outros países,,4,
G,V207,50,Egito (República Árabe Unida),Outros países,,4,
G,V207,51,Equador,Outros países,,4,
G,V207,52,"Grã-Bretanha (Inglaterra, Escócia, Irlanda do Norte, Reino Unido)",Outros países,,4,
G,V207,53,Iugoslávia (inclusive Eslovênia),Outros países,,4,
G,V207,54,Espanha,Outros países,,4,
G,V207,55,Estados Unidos (inclusive Porto Rico),Outros países,,4,
G,V207,56,Filipinas,Outros países,,4,
G,V207,57,Finlândia,Outros países,,4,
G,V207,58,França,Outros países,,4,
G,V207,59,Grécia,Outros países,,4,
G,V207,60,Guatemala,Outros países,,4,
G,V207,61,Guiana Inglesa,Outros países,,4,
G,V207,62,Guiana Francesa,Outros países,,4,
G,V207,63,Guiana Holandesa (Suriname),Outros países,,4,
G,V207,64,Haiti,Outros países,,4,
G,V207,65,Holanda,Outros países,,4,
G,V207,66,Honduras,Outros países,,4,
G,V207,67,Honduras Britânica,Outros países,,4,
G,V207,68,Hungria,Outros países,,4,
G,V207,69,Índia,Outros países,,4,
G,V207,70,Irã,Outros países,,4,
G,V207,71,Iraque,Outros países,,4,
G,V207,72,Irlanda (Eire),Outros países,,4,
G,V207,73,Israel,Outros países,,4,
G,V207,74,Itália,Outros países,,4,
G,V207,75,Jamaica,Outros países,,4,
G,V207,76,Japão,Outros países,,4,
G,V207,77,Líbano,Outros países,,4,
G,V207,78,México,Outros países,,4,
G,V207,79,Nicarágua,Outros países,,4,
G,V207,80,Nigéria,Outros países,,4,
G,V207,81,Noruega,Outros países,,4,
G,V207,82,Nova Zelândia,Outros países,,4,
G,V207,83,Panamá,Outros países,,4,
G,V207,84,Paquistão,Outros países,,4,
G,V207,85,Paraguai,Outros países,,4,
G,V207,86,Pérsia,Outros países,,4,
G,V207,87,Peru,Outros países,,4,
G,V207,88,Polônia,Outros países,,4,
G,V207,89,Portugal,Outros países,,4,
G,V207,90,República Dominicana,Outros países,,4,
G,V207,91,Romênia,Outros países,,4,
G,V207,92,Salvador,Outros países,,4,
G,V207,93,Suécia,Outros países,,4,
G,V207,94,Suíça,Outros países,,4,
G,V207,95,Tcheco-Eslováquia,Outros países,,4,
G,V207,96,Turquia,Outros países,,4,
G,V207,97,Uruguai,Outros países,,4,
G,V207,98,Venezuela,Outros países,,4,
H,V208,9,Brasileiro nato,,,4,
H,V208,0,Brasileiro naturalizado,,,4,
H,V208,1,Estrangeiro,,,4,
I,V209,0,Procedente de zona rural (retângulo zero assinalado),,,5,"código de dois algarismos: o primeiro (V209) é a procedência, o segundo (V299) o tempo"
I,V209,1,"Retângulo zero não assinalado, com resposta de tempo de migração",,,5,"código de dois algarismos: o primeiro (V209) é a procedência, o segundo (V299) o tempo"
I,V209,2,"Natural da Unidade da Federação do boletim, ou não morador presente (código 20)",,,5,"código de dois algarismos: o primeiro (V209) é a procedência, o segundo (V299) o tempo"
I,V209,3,"Não natural da Unidade da Federação, sem nenhuma declaração (código 31)",,,5,"código de dois algarismos: o primeiro (V209) é a procedência, o segundo (V299) o tempo"
I,V299,2,Menos de 1 ano,,,5,
I,V299,3,1 ano,,,5,
I,V299,4,2 anos,,,5,
I,V299,5,3 anos,,,5,
I,V299,6,4 anos,,,5,
I,V299,7,5 anos,,,5,
I,V299,8,6 a 10 anos,,,5,
I,V299,9,11 anos e mais,,,5,
I,V299,0,Natural da Unidade da Federação (código 20),,,5,
I,V299,1,Sem declaração de tempo (códigos 01 e 31),,,5,
J,V210,00,Natural da Unidade da Federação (quesito I = 20),,,5,
J,V210,29,"Natural do Brasil, sem resposta",,,5,
J,V210,99,"Natural do exterior, sem resposta",,,5,
J,V210,01-98,"Unidade da Federação ou país de residência anterior, pelos códigos do quesito G",,,5,
L,V211,X,Menor de 5 anos (em branco no arquivo),,,6,
L,V211,0,Sabe ler e está frequentando escola,,,6,
L,V211,1,Sabe ler e não está frequentando escola,,,6,
L,V211,2,Não sabe ler e está frequentando escola,,,6,
L,V211,3,Não sabe ler e não está frequentando escola,,,6,
L,V211,4,Ignorada,,,6,
M,V212,4,1ª série,,,6,
M,V212,5,2ª série,,,6,
M,V212,6,3ª série,,,6,
M,V212,7,4ª série,,,6,
M,V212,8,5ª série,,,6,
M,V212,9,6ª série,,,6,
M,V212,0,Cursa o 1º ano elementar,,,6,
M,V212,1,Não frequenta nem frequentou escola,,,6,
M,V212,2,Ignorado,,,6,
N,V213,2,Elementar,,,6,
N,V213,3,"Médio, 1º ciclo",,,6,
N,V213,4,"Médio, 2º ciclo",,,6,
N,V213,5,Superior,,,6,
N,V213,6,Ignorado,,,6,
N,V213,1,Prejudicado (não frequenta nem frequentou escola),,,6,
N,V213,0,Cursa o 1º ano elementar,,,6,
O,V214,X,Menor de 10 anos (em branco no arquivo),,,6-7,
O,V214,00,Prejudicado (sem curso completo),,,6-7,
O,V214,99,Ignorado,,,6-7,
O,V214,89,Curso de grau não determinado,,,6-7,
O,V214,10,Primário,Elementar,,6-7,
O,V214,11,Comercial,Elementar,,6-7,
O,V214,13,Serviços sanitários,Elementar,,6-7,
O,V214,14,Militar,Elementar,,6-7,
O,V214,15,Agricultura e pecuária,Elementar,,6-7,
O,V214,16,Emendativo,Elementar,,6-7,
O,V214,17,Industrial,Elementar,,6-7,
O,V214,19,Outros,Elementar,,6-7,
O,V214,20,Ginasial,"Médio, 1º ciclo",,6-7,
O,V214,21,Comercial,"Médio, 1º ciclo",,6-7,
O,V214,22,Normal ou pedagógico,"Médio, 1º ciclo",,6-7,
O,V214,24,Militar,"Médio, 1º ciclo",,6-7,
O,V214,25,Agricultura e pecuária,"Médio, 1º ciclo",,6-7,
O,V214,26,Emendativo,"Médio, 1º ciclo",,6-7,
O,V214,27,Industrial,"Médio, 1º ciclo",,6-7,
O,V214,29,Outros,"Médio, 1º ciclo",,6-7,
O,V214,40,Colegial (científico e clássico),"Médio, 2º ciclo",,6-7,
O,V214,41,Comercial,"Médio, 2º ciclo",,6-7,
O,V214,42,Normal ou pedagógico,"Médio, 2º ciclo",,6-7,
O,V214,44,Militar,"Médio, 2º ciclo",,6-7,
O,V214,45,Agricultura e pecuária,"Médio, 2º ciclo",,6-7,
O,V214,47,Industrial,"Médio, 2º ciclo",,6-7,
O,V214,49,Outros,"Médio, 2º ciclo",,6-7,
