uf60,code_muni_1960,name_muni_1960,code_district_1960,domicilios
60,6442,Avaré,3,156
31,3316,Utinga,3,155
40,4536,Inhaúma,3,155
81,8260,Gravataí,11,155
31,3309,Lençóis,3,154
14,1483,Ipu,5,154
40,4014,Vazante,5,154
40,4431,Juiz de Fora,9,154
60,6200,Araçoiaba da Serra,3,154
14,1512,Aracati,3,153
52,5230,Cantagalo,9,153
81,8104,Santo Ângelo,15,153
40,4910,Frutal,5,152
91,9150,Aquidauana,9,152
21,2215,Serra Talhada,5,152
71,7174,Jaboti,3,152
60,6690,Santa Cruz do Rio Pardo,9,152
31,3309,Lençóis,5,151
40,4096,Itutinga,3,151
40,4444,Muriaé,11,151
81,8357,Não-Me-Toque,3,151
31,3315,Seabra,11,150
40,4146,Silvianópolis,3,150
40,4264,Joaíma,3,150
81,8200,Antônio Prado,3,150
60,6341,Itaporanga,3,150
60,6485,Palestina,5,150
14,1567,Russas,3,149
19,2029,Itabaiana,3,149
71,7222,Barracão,3,149
71,7246,Marialva,5,149
14,1548,Quixeramobim,19,148
71,7221,Araruna,3,148
17,1761,Almino Afonso,3,148
60,6461,Chavantes,5,148
31,3371,Barreiras,5,147
31,3383,Saúde,5,147
40,4603,Belo Vale,3,147
40,4702,Arcos,3,147
19,1959,São João do Cariri,3,147
71,7181,Siqueira Campos,3,147
52,5261,Barra Mansa,5,147
31,3148,Taperoá,5,146
31,3311,Mucugê,7,146
14,1634,Santana do Cariri,5,146
40,4091,Itajubá,3,146
40,4503,Diamantina,21,146
19,1976,Patos,3,146
19,1977,Piancó,9,146
71,7241,Loanda,5,146
81,8201,Bento Gonçalves,5,146
81,8106,São Francisco de Assis,3,145
60,6032,Taubaté,3,145
31,3361,Carinhanha,7,144
21,2215,Serra Talhada,11,144
81,8408,Estrela,3,144
30,3060,Capela,7,144
40,4733,Oliveira,3,143
91,9204,Coxim,3,143
71,7252,Paranavaí,5,143
71,7268,Toledo,7,143
52,5267,Resende,11,143
60,6207,Cotia,3,143
31,3359,Xique-Xique,5,142
40,4118,Ouro Fino,3,142
40,4218,São João da Ponte,13,142
19,1951,Carnoió,7,142
71,7253,Pato Branco,9,142
60,6440,Agudos,5,142
40,4043,Borda da Mata,5,141
40,4115,Natércia,3,141
40,4444,Muriaé,9,141
52,5271,Valença,7,141
81,8326,Tucunduva,5,141
14,1455,Várzea Alegre,3,140
40,4048,Cachoeira de Minas,3,140
91,9150,Aquidauana,13,140
71,7112,Rio Branco do Sul,3,140
14,1490,Ubajara,3,139
40,4736,Pará de Minas,9,139
81,8308,Frederico Westphalen,5,139
14,1522,Itapipoca,11,138
14,1615,Crateús,11,138
91,9186,Itaporã,5,138
71,7193,Ortigueira,7,138
81,8204,Caxias do Sul,15,138
60,6206,Campinas,5,138
94,9567,Niquelândia,3,137
71,7120,Bituruna,3,137
30,3081,Carira,3,137
40,4012,Presidente Olegário,3,136
40,4210,Bocaiúva,7,136
40,4908,Conceição das Alagoas,3,136
40,4909,Conquista,5,136
91,9161,Cáceres,3,136
91,9180,Amambai,13,136
71,7101,Guaraqueçaba,5,136
81,8503,São José do Norte,5,136
40,4469,Santa Margarida,3,135
71,7222,Barracão,9,135
71,7330,Jataizinho,5,135
30,3060,Capela,3,135
40,4040,Bocaina de Minas,3,134
40,4049,Caldas,5,134
40,4313,Ferros,3,134
40,4531,Congonhas,3,134
71,7153,Campo Largo,9,134
71,7322,Guaraci,3,134
71,7326,Itambaracá,3,134
81,8261,Guaíba,5,134
40,4027,São João do Paraíso,3,133
19,1976,Patos,7,133
71,7121,Guarapuava,11,133
71,7205,Rio Azul,3,133
71,7228,Clevelândia,5,133
60,6690,Santa Cruz do Rio Pardo,3,133
94,9567,Niquelândia,5,132
40,4120,Paraisópolis,3,132
40,4431,Juiz de Fora,13,132
40,4530,Conceição do Mato Dentro,3,132
19,1958,Prata,3,132
71,7145,Ponta Grossa,3,132
71,7202,Mallet,3,132
71,7240,Laranjeiras do Sul,3,132
31,3384,Senhor do Bonfim,9,131
14,1620,Tauá,9,131
40,4472,Santos Dumont,3,131
71,7155,Curitiba,9,131
60,6657,Tupã,5,131
31,3215,Jequié,17,130
94,9546,Formosa,5,130
94,9655,Rubiataba,5,130
40,4098,Jacutinga,3,130
40,4606,Carandaí,5,130
19,1910,Santa Luzia,7,130
71,7307,Astorga,5,130
81,8408,Estrela,5,130
14,1615,Crateús,13,129
40,4150,Três Pontas,3,129
40,4431,Juiz de Fora,3,129
40,4466,Rio Pomba,3,129
40,4717,Dores do Indaiá,3,129
81,8400,Arroio do Meio,5,129
60,6484,Olímpia,5,129
14,1414,Caridade,3,128
40,4402,Alto Rio Doce,3,128
19,1959,São João do Cariri,5,128
40,4611,Jeceaba,3,127
71,7234,Foz do Iguaçu,5,127
31,3326,Jacaraci,5,126
40,4426,Guarará,3,126
71,7208,Teixeira Soares,5,126
71,7240,Laranjeiras do Sul,15,126
81,8260,Gravataí,5,126
40,4044,Botelhos,3,125
