uf60,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,name_bairro_1960,tipo,zona_cod,zona,pagina,fonte
1,120,Cruzeiro do Sul,03,Japiim,,distrito,012,Zona do Alto Juruá,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,120,Cruzeiro do Sul,05,Pórto Valter,,distrito,012,Zona do Alto Juruá,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,120,Cruzeiro do Sul,07,Tauma tur go,,distrito,012,Zona do Alto Juruá,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,121,Feijó,01,Feijó,,distrito,012,Zona do Alto Juruá,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,122,Tarauacá,01,Tarauacá,,distrito,12,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
1,122,Tarauacá,03,Foz do Jordao,,distrito,012,Zona do Alto Juruá,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,210,Barreirinha,01,Barreirinha,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,210,Barreirinha,03,Ariaú,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,210,Barreirinha,05,Freguesia do Andirá,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,210,Barreirinha,07,Pedras,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,211,Itacoatiara,03,Amatari,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,214,Nhamundá,01,Nhamundá,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,215,Nova Olinda Do Norte,01,Nova Olinda Do Norte,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,216,Parintins,01,Parintins,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,217,Silves,01,Silves,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,218,Urucará,01,Urucará,,distrito,021,Zona do Médio AMAZONAS,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,230,Autazes,01,Autazes,,distrito,,Zona do Rio Madeira,7,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,230,Autazes,03,Murutinga,,distrito,,Zona do Rio Madeira,7,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,231,Borba,03,Axinim,,distrito,,Zona do Rio Madeira,7,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,231,Borba,05,Canum&ê,,distrito,,Zona do Rio Madeira,7,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,232,Humaitá,01,Humaitá,,distrito,,Zona do Rio Madeira,7,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,233,Manicoré,01,Manicoré,,distrito,,Zona do Rio Madeira,7,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,234,Novo Aripuanã,01,Novo Aripuanã,,distrito,,Zona do Rio Madeira,7,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,234,Novo Aripuanã,03,Sumaúma,,distrito,,Zona do Rio Madeira,7,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,241,Barcelos,03,CERVOOANO atear,,distrito,024,Zona do Rio Negro,4,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,242,Carsiro,01,Carsiro,,distrito,024,Zona do Rio Negro,5,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,244,Manaus,01,Manaus,,distrito,024,Zona do Rio Negro,5,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
