"linha","linha_familia","texto_original","texto_corrigido","texto_familia_original","texto_familia_corrigido","fonte_25","linha_pessoa_25","linha_familia_25","justificativa"
"307809","307481","3131431131712155352911457059060531100000000034-       \0048998","3131431131712155352911457059060531100000000034-       \0048998","3131430131712155151478389680206003                    \0048947","3131430131712155151478389680206003                    \0048947","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","470326","470322","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"307810","307481","313143113171215535191155705906053110000000003332321160\0048998","313143113171215535191155705906053110000000003332321160\0048998","3131430131712155151478389680206003                    \0048947","3131430131712155151478389680206003                    \0048947","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","470325","470322","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"307811","307481","3131431131712155352813857059060531100842040434-       \0048998","3131431131712155352813857059060531100842040434-       \0048998","3131430131712155151478389680206003                    \0048947","3131430131712155151478389680206003                    \0048947","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","470324","470322","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"315190","315739","3131750331962127312813657059200031100953050334-       \0050203","3131750331962127312813657059200031100953050334-       \0050203","3131750531962127111598389680203002                    \0050307","3131750531962127111598389680203002                    \0050307","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645918","645916","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"315191","315739","3131750331962127312911157059200031100000000034-       \0050203","3131750331962127312911157059200031100000000034-       \0050203","3131750531962127111598389680203002                    \0050307","3131750531962127111598389680203002                    \0050307","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645920","645916","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"315192","315739","313175033196212731191185705920003110000000006332321116\0050203","313175033196212731191185705920003110000000006332321116\0050203","3131750531962127111598389680203002                    \0050307","3131750531962127111598389680203002                    \0050307","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645919","645916","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"315328","315748","3131750331962155352813757059200031100647050334-       \0050229","3131750331962155352813757059200031100647050334-       \0050229","3131750531962155151578389680205002                    \0050309","3131750531962155151578389680205002                    \0050309","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","646065","646063","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"315329","315748","31317503319621553529101570592000-                     \0050229","31317503319621553529101570592000-                     \0050229","3131750531962155151578389680205002                    \0050309","3131750531962155151578389680205002                    \0050309","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","646068","646063","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"315330","315748","31317503319621553519109570592000111-                  \0050229","31317503319621553519109570592000111-                  \0050229","3131750531962155151578389680205002                    \0050309","3131750531962155151578389680205002                    \0050309","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","646067","646063","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"315331","315748","3131750331962155352911257059200011100000000034-       \0050229","3131750331962155352911257059200011100000000034-       \0050229","3131750531962155151578389680205002                    \0050309","3131750531962155151578389680205002                    \0050309","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","646066","646063","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"321385","321383","313185013206820635191155427914271420000000006398725156\0051229","313185013206820635191155427914271420000000006398725156\0051229","3131850132068206111480369680206002                    \0051229","3131850132068206111480369680206002                    \0051229","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","716727","716725","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"354339","354331","31326905327342153329106570592000311-                  \0056705","31326905327342153329106570592000311-                  \0056705","3132690532734215111480389680204001                    \0056705","3132690532734215111480389680204001                    \0056705","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","1184147","1184143","Cartao127 unico, 15 campos e distrito iguais ao cartao25; composicao integral e multiplicidades pessoais exatas, estrutura25 conferida. Preservar respostas e geografia pessoal; nao afirmar identidade civil."
"368590","369817","3133200533182173352911254059200031100000000034-       \0058905","3133200533182173352911254059200031100000000034-       \0058905","3133220533182173151478289680204002                    \0059078","3133220533182173151478289680204002                    \0059078","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","1492137","1492134","Cartao127 unico, 15 campos e distrito iguais ao cartao25; composicao integral e multiplicidades pessoais exatas, estrutura25 conferida. Preservar respostas e geografia pessoal; nao afirmar identidade civil."
"391424","391417","4040110140358205352116777169200015200400130734-       \0062489","4040110140358205352116777169200015200400130734-       \0062489","4040110140358205131478269680206003                    \0062489","4040110140358205131478269680206003                    \0062489","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","229460","229453","Cartao127 unico, 15 campos e distrito iguais ao cartao25; composicao integral e multiplicidades pessoais exatas, estrutura25 conferida. Preservar respostas e geografia pessoal; nao afirmar identidade civil."
