uf60,nome_uf,zona_cod,zona,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,duvida,pagina
2,Amazonas,025,Zona do Solimões-Tefé,256,TEFÉ,3,Alvarães,False,5
2,Amazonas,026,Zona do Rio Purus,260,BÔCA DO ACRE,1,Bôca do Acre,False,5
2,Amazonas,026,Zona do Rio Purus,260,BÔCA DO ACRE,3,Floriano Peixoto,False,5
2,Amazonas,026,Zona do Rio Purus,261,CANUTAMA,1,Canutama,False,6
2,Amazonas,026,Zona do Rio Purus,262,LÁBREA,1,Lábrea,False,6
2,Amazonas,026,Zona do Rio Purus,262,LÁBREA,3,Fortaleza do Ituxi,False,6
2,Amazonas,026,Zona do Rio Purus,263,PAUINI,1,Pauini,False,6
2,Amazonas,026,Zona do Rio Purus,264,TAPAUÁ,1,Tapauá,False,6
2,Amazonas,027,Zona do Rio Juruá,270,CARAUARI,1,Carauari,False,6
2,Amazonas,027,Zona do Rio Juruá,271,EIRUNEPÉ,1,Eirunepé,False,6
2,Amazonas,027,Zona do Rio Juruá,272,ENVIRA,1,Envira,False,6
2,Amazonas,027,Zona do Rio Juruá,273,IPIXUNA,1,Ipixuna,False,6
2,Amazonas,027,Zona do Rio Juruá,274,JURUÁ,1,Juruá,False,6
2,Amazonas,028,Zona do Solimões-Javari,280,ATALAIA DO NORTE,1,Atalaia do Norte,False,6
2,Amazonas,028,Zona do Solimões-Javari,281,BENJAMIN CONSTANT,1,Benjamin Constant,False,6
2,Amazonas,028,Zona do Solimões-Javari,282,FONTE BOA,1,Fonte Boa,False,6
2,Amazonas,028,Zona do Solimões-Javari,283,JUTAÍ,1,Jutaí,False,6
2,Amazonas,028,Zona do Solimões-Javari,284,SANTO ANTÔNIO DO IÇÁ,1,Santo Antônio do Içá,False,6
2,Amazonas,028,Zona do Solimões-Javari,284,SANTO ANTÔNIO DO IÇÁ,3,Tonantins,False,6
2,Amazonas,028,Zona do Solimões-Javari,285,SÃO PAULO DE OLIVENÇA,1,São Paulo de Olivença,False,7
2,Amazonas,028,Zona do Solimões-Javari,285,SÃO PAULO DE OLIVENÇA,3,Amataurá,False,7
2,Amazonas,028,Zona do Solimões-Javari,285,SÃO PAULO DE OLIVENÇA,5,Santa Rita do Weil,False,7
2,Amazonas,023,Zona do Rio Madeira,230,AUTAZES,1,Autazes,False,7
2,Amazonas,023,Zona do Rio Madeira,230,AUTAZES,3,Murutinga,False,7
2,Amazonas,023,Zona do Rio Madeira,231,BORBA,1,Borba,False,7
2,Amazonas,023,Zona do Rio Madeira,231,BORBA,3,Axinim,False,7
2,Amazonas,023,Zona do Rio Madeira,231,BORBA,5,Canumã,False,7
2,Amazonas,023,Zona do Rio Madeira,232,HUMAITÁ,1,Humaitá,False,7
2,Amazonas,023,Zona do Rio Madeira,233,MANICORÉ,1,Manicoré,False,7
2,Amazonas,023,Zona do Rio Madeira,234,NOVO ARIPUANÃ,1,Novo Aripuanã,False,7
2,Amazonas,023,Zona do Rio Madeira,234,NOVO ARIPUANÃ,3,Sumaúma,False,7
3,Território do Rio Branco,031,Zona do Alto Rio Branco,310,BOA VISTA,1,Boa Vista,False,8
3,Território do Rio Branco,031,Zona do Alto Rio Branco,310,BOA VISTA,3,Conceição do Maú,False,8
3,Território do Rio Branco,031,Zona do Alto Rio Branco,310,BOA VISTA,5,Depósito,False,8
3,Território do Rio Branco,031,Zona do Alto Rio Branco,310,BOA VISTA,7,Uraricoera,False,8
3,Território do Rio Branco,032,Zona de Catrimâni,320,CARACARAÍ,1,Caracaraí,False,8
3,Território do Rio Branco,032,Zona de Catrimâni,320,CARACARAÍ,3,Boiaçu,False,8
3,Território do Rio Branco,032,Zona de Catrimâni,320,CARACARAÍ,5,São José de Anauá,False,8
3,Pará,043044,Zona do Marajó e Ilhas,430,AFUÁ,1,Afuá,False,9
3,Pará,043044,Zona do Marajó e Ilhas,430,AFUÁ,3,Vila Baturité,False,9
3,Pará,043044,Zona do Marajó e Ilhas,431,ANAJÁS,1,Anajás,False,9
3,Pará,043044,Zona do Marajó e Ilhas,432,BREVES,1,Breves,False,9
3,Pará,043044,Zona do Marajó e Ilhas,432,BREVES,3,Antônio Lemos,False,9
3,Pará,043044,Zona do Marajó e Ilhas,432,BREVES,5,Curumu,False,9
3,Pará,043044,Zona do Marajó e Ilhas,432,BREVES,7,São Miguel dos Macacos,False,9
3,Pará,043044,Zona do Marajó e Ilhas,433,CACHOEIRA DO ARARI,1,Cachoeira do Arari,False,9
3,Pará,043044,Zona do Marajó e Ilhas,434,CHAVES,1,Chaves,False,9
3,Pará,043044,Zona do Marajó e Ilhas,434,CHAVES,3,São Sebastião de Viçosa [9.16],False,9
3,Pará,043044,Zona do Marajó e Ilhas,435,CURRALINHO,1,Curralinho,False,9
3,Pará,043044,Zona do Marajó e Ilhas,435,CURRALINHO,3,Piriá,False,9
3,Pará,043044,Zona do Marajó e Ilhas,436,GURUPÁ,1,Gurupá,False,9
3,Pará,043044,Zona do Marajó e Ilhas,436,GURUPÁ,3,Carrazedo,False,9
3,Pará,043044,Zona do Marajó e Ilhas,436,GURUPÁ,5,Itatupã,False,9
3,Pará,043044,Zona do Marajó e Ilhas,437,MUANÁ,1,Muaná,False,9
3,Pará,043044,Zona do Marajó e Ilhas,437,MUANÁ,3,São Francisco da Jararaca,False,9
3,Pará,043044,Zona do Marajó e Ilhas,438,PONTA DE PEDRAS,1,Ponta de Pedras,False,9
3,Pará,043044,Zona do Marajó e Ilhas,438,PONTA DE PEDRAS,3,Santa Cruz,False,9
3,Pará,043044,Zona do Marajó e Ilhas,439,SÃO SEBASTIÃO DA BOA VISTA,1,São Sebastião da Boa Vista,False,10
3,Pará,043044,Zona do Marajó e Ilhas,440,SOURE,1,Soure,False,10
3,Pará,043044,Zona do Marajó e Ilhas,440,SOURE,3,Condeixa,False,10
3,Pará,043044,Zona do Marajó e Ilhas,440,SOURE,5,Joanes,False,10
3,Pará,043044,Zona do Marajó e Ilhas,440,SOURE,7,Salvaterra,False,10
3,Pará,041,Zona do Salgado,410,CURUÇÁ,1,Curuçá,False,10
3,Pará,041,Zona do Salgado,410,CURUÇÁ,3,Lauro Sodré,False,10
3,Pará,041,Zona do Salgado,410,CURUÇÁ,5,Murajá,False,10
3,Pará,041,Zona do Salgado,410,CURUÇÁ,7,Ponta de Ramos,False,10
3,Pará,041,Zona do Salgado,410,CURUÇÁ,9,Terra Alta,False,10
3,Pará,041,Zona do Salgado,411,MARACANÃ,1,Maracanã,False,10
3,Pará,041,Zona do Salgado,411,MARACANÃ,3,Boa Esperança,False,10
3,Pará,041,Zona do Salgado,411,MARACANÃ,5,Santarém Nôvo,False,10
3,Pará,041,Zona do Salgado,411,MARACANÃ,7,São Roberto,False,10
3,Pará,041,Zona do Salgado,412,MARAPANIM,1,Marapanim,False,10
3,Pará,041,Zona do Salgado,412,MARAPANIM,3,Cuinaruna,False,10
3,Pará,041,Zona do Salgado,412,MARAPANIM,5,Marudá,False,10
3,Pará,041,Zona do Salgado,412,MARAPANIM,7,Matapiquara,False,10
3,Pará,041,Zona do Salgado,412,MARAPANIM,9,Maú,False,10
3,Pará,041,Zona do Salgado,413,SALINÓPOLIS,1,Salinópolis,False,10
3,Pará,041,Zona do Salgado,413,SALINÓPOLIS,3,Japerica,False,10
3,Pará,041,Zona do Salgado,413,SALINÓPOLIS,5,São João de Pirabas,False,10
3,Pará,041,Zona do Salgado,414,SÃO CAETANO DE ODIVELAS,1,São Caetano de Odivelas,False,10
3,Pará,041,Zona do Salgado,414,SÃO CAETANO DE ODIVELAS,3,Perseverança,False,10
3,Pará,041,Zona do Salgado,414,SÃO CAETANO DE ODIVELAS,5,São João da Ponta,False,10
3,Pará,041,Zona do Salgado,415,VIGIA,1,Vigia,False,11
3,Pará,041,Zona do Salgado,415,VIGIA,3,Colares,False,11
3,Pará,041,Zona do Salgado,415,VIGIA,5,Pôrto Salvo,False,11
3,Pará,041,Zona do Salgado,415,VIGIA,7,Santo Antônio do Tauá,False,11
3,Pará,054055,Zona Bragantina,540,ANANINDEUA,1,Ananindeua,False,11
3,Pará,054055,Zona Bragantina,540,ANANINDEUA,3,Benevides,False,11
3,Pará,054055,Zona Bragantina,540,ANANINDEUA,5,Benfica,False,11
3,Pará,054055,Zona Bragantina,540,ANANINDEUA,7,Engenho Araci,False,11
3,Pará,054055,Zona Bragantina,541,ANHANGA,1,Anhanga,False,11
3,Pará,054055,Zona Bragantina,542,BELÉM,1,Belém,False,11
3,Pará,054055,Zona Bragantina,542,BELÉM,3,Icoraci,False,11
3,Pará,054055,Zona Bragantina,542,BELÉM,5,Mosqueiro,False,11
3,Pará,054055,Zona Bragantina,542,BELÉM,7,Val-de-Cães,False,11
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,1,Bragança,False,11
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,3,Almôço,False,11
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,5,Caratateua,False,11
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,7,Emboraí,False,11
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,9,Itapixuna,False,11
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,11,Nova Mocajuba,False,11
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,13,Piabas,False,11
