dataset,coluna,tipo_atual,tipo_alvo,n,nonnum,frac,lz,mn,mx
1960_population,V110,int32,int32,14863065,0,0,0,0,9
1960_population,V111,int32,int32,14863065,0,0,0,1,3
1960_population,V112,int32,int32,14863064,0,0,0,0,36
1960_population,V113,int32,int32,14863065,0,0,0,0,19
1960_population,UF,int32,int32,15145810,0,0,0,0,97
1960_population,V116,int32,int32,15145810,0,0,0,5,9701
1960_population,V117,int32,int32,15145810,0,0,0,1,95
1960_population,V118,int32,int32,15145810,0,0,0,1,5
1960_population,V202,int32,int32,15145810,0,0,0,1,6
1960_population,V203,int32,int32,15145810,0,0,0,0,9
1960_population,V204,int32,int32,15145810,0,0,0,0,9
1960_population,V204B,int32,int32,15145806,0,0,0,0,99
1960_population,V205,int32,int32,15145800,0,0,0,0,9
1960_population,V206,int32,int32,15145810,0,0,0,4,9
1960_population,V207,int32,int32,15145809,0,0,0,1,99
1960_population,V208,int32,int32,15145810,0,0,0,0,9
1960_population,V209,int32,int32,15145810,0,0,0,0,3
1960_population,V299,int32,int32,15145810,0,0,0,0,9
1960_population,V210,int32,int32,15145810,0,0,0,0,99
1960_population,V211,int32,int32,12755734,0,0,0,0,4
1960_population,V212,int32,int32,12755733,0,0,0,0,9
1960_population,V213,int32,int32,12755734,0,0,0,0,6
1960_population,V214,int32,int32,10576233,0,0,0,0,99
1960_population,V215,int32,int32,10576233,0,0,0,0,9
1960_population,V216,int32,int32,10576232,0,0,0,0,99
1960_population,V217,int32,int32,10576233,0,0,0,0,99
1960_population,V218,int32,int32,10576233,0,0,0,0,99
1960_population,V219,int32,int32,10576233,0,0,0,0,9
1960_population,V220,int32,int32,10576233,0,0,0,0,9
1960_population,V221,int32,int32,4946411,0,0,0,111,999
1960_population,V223,int32,int32,4946412,0,0,0,2,5
1960_population,V223B,int32,int32,4946412,0,0,0,111,919
1960_population,V224,int32,int32,4946412,0,0,0,0,9
1960_population,censobr_n_listadas,int32,int32,15145810,0,0,0,1,49
1960_population,censobr_n_residentes,int32,int32,15145810,0,0,0,0,49
1960_population,censobr_n_presentes,int32,int32,15145810,0,0,0,0,49
1960_population,censobr_n_familias,int32,int32,15145810,0,0,0,1,3
1960_population,censobr_estrato,string,string,15145810,15145810,0,0,,
1960_population,censobr_upa,int32,int32,15145810,0,0,0,14,970014797
1960_population,censobr_fpc,double,double,15145810,0,15145810,0,0.05,0.25
1960_population,censobr_usa,int32,int32,15145810,0,0,0,1,970014797
1960_population,censobr_fpc2,double,double,15145810,0,162041,0,0.25,1
1960_population,censobr_weight,double,double,15145810,0,15135206,0,1.00004777009219,275.25948547325
1960_population,censobr_weight_fator,double,double,15145810,0,15135206,0,0.250011942523048,3.49579546551027
1960_population,censobr_weight_desenho,double,double,15145810,0,162041,0,4,78.740157480315
1960_population,censobr_weight_nivel,string,string,14983769,14983769,0,0,,
1960_population,censobr_weight_ibge,int32,int32,14983769,0,0,0,3,5
1960_population,censobr_weight_1965,double,double,162041,0,162041,0,38.6454307805017,170.097801518793
1960_population,censobr_weight_1965_fator,double,double,162041,0,161990,0,0.490796970912371,2.16024207928867
1960_population,censobr_favela,double,int32,15145810,0,0,0,0,1
1960_population,censobr_muni_corrigido,double,int32,15145810,0,0,0,0,1
1960_population,censobr_uf_corrigida,double,int32,162041,0,0,0,0,1
1960_population,censobr_diagnostico,string,string,162041,162041,0,0,,
1960_population,censobr_variaveis_anuladas,string,string,15145810,18,0,0,,
1960_population,censobr_tipo_registro,int32,int32,162041,0,0,0,2,3
1960_population,censobr_duplicata_mantida,double,int32,162041,0,0,0,0,1
1960_population,censobr_familia_origem,string,string,162041,162041,0,0,,
1960_population,censobr_v208_imputada,double,int32,162041,0,0,0,0,0
1960_population,censobr_v217_fora_da_faixa,double,int32,162041,0,0,0,0,1
1960_population,censobr_v218_fora_da_faixa,double,int32,162041,0,0,0,0,0
1960_population,censobr_flag_conjuge_mesmo_sexo,double,int32,162041,0,0,0,0,1
1960_population,censobr_flag_filho_mais_velho,double,int32,162041,0,0,0,0,1
1960_population,censobr_flag_casamento_impossivel,double,int32,162041,0,0,0,0,1
1960_population,censobr_linha,int32,int32,15145810,0,0,0,1,4062697
1970_households,code_region,int32,int32,4741386,0,0,0,1,5
1970_households,name_region,string,string,4741386,4741386,0,0,,
1970_households,code_state,int32,int32,4741386,0,0,0,11,53
1970_households,abbrev_state,string,string,4741386,4741386,0,0,,
1970_households,name_state,string,string,4741386,4741386,0,0,,
1970_households,code_muni,int32,int32,4741386,0,0,0,1100106,5300108
1970_households,code_muni_1970,int32,int32,4741386,0,0,0,101101,3600000
1970_households,abbrev_state_1970,string,string,4741386,4741386,0,0,,
1970_households,name_state_1970,string,string,4741386,4741386,0,0,,
1970_households,id_household,double,double,4741386,0,0,0,1010,5102425032
1970_households,V001,int32,int32,4741386,0,0,0,1,941
1970_households,V002,int32,int32,4741386,0,0,0,1,929
1970_households,V003,int32,int32,4741386,0,0,0,1,55
1970_households,V004,int32,int32,4741386,0,0,0,0,2
1970_households,V006,int32,int32,4741386,0,0,0,1,2
1970_households,V007,int32,int32,4741386,0,0,0,0,0
1970_households,V008,int32,int32,4741386,0,0,0,0,2
1970_households,V009,int32,int32,4737407,0,0,0,0,5
1970_households,V010,int32,int32,4737407,0,0,0,0,9
1970_households,V011,int32,int32,4737407,0,0,0,0,6
1970_households,V012,int32,int32,4737407,0,0,0,0,5
1970_households,V013,int32,int32,4737407,0,0,0,0,5
1970_households,V014,int32,int32,4737407,0,0,0,0,2
1970_households,V015,int32,int32,4737407,0,0,0,0,6
1970_households,V016,int32,int32,4737407,0,0,0,0,2
1970_households,V017,int32,int32,4737407,0,0,0,0,2
1970_households,V018,int32,int32,4737407,0,0,0,0,2
1970_households,V019,int32,int32,4737407,0,0,0,0,2
1970_households,V020,int32,int32,4737407,0,0,0,0,30
1970_households,V021,int32,int32,4737515,0,0,0,0,19
1970_households,weight_household,int32,int32,4741386,0,0,0,0,96
1970_households,numb_dwellers,int32,int32,4741386,0,0,0,1,37
1970_households,numb_residents,int32,int32,4741386,0,0,0,1,37
